amount,merchant_category,hour,days_since_last_txn,txn_count_24h,avg_amount_30d,foreign,card_not_present,label
178.08,6,23,2.3,1,46.10,0,1,1
16.99,2,19,2.1,1,57.44,0,1,0
58.01,0,11,2.9,3,114.05,0,0,0
11.29,6,18,6.5,2,25.05,0,1,0
106.16,2,13,3.4,2,68.36,0,1,0
46.09,2,19,2.3,2,79.45,0,0,0
14.14,8,2,1.4,3,48.69,0,1,0
11.26,7,20,4.9,3,30.96,1,1,0
63.79,11,14,0.9,7,25.92,0,0,0
376.00,5,22,0.8,2,243.52,1,1,1
38.54,11,12,1.9,4,64.60,0,0,0
124.70,3,17,0.8,6,102.41,0,0,0
102.69,1,7,0.4,5,92.72,0,0,0
238.17,2,11,0.3,3,86.91,0,0,0
21.15,4,17,2.7,1,22.04,0,0,0
79.78,1,9,0.4,2,86.56,0,1,0
30.95,5,14,0.8,2,34.52,0,1,0
102.95,6,5,0.3,3,40.72,0,0,0
29.51,5,17,1.0,5,41.59,0,0,0
66.00,0,13,1.0,4,35.50,0,0,0
37.95,4,17,0.7,1,73.57,0,0,0
44.62,3,23,0.1,3,24.55,0,0,0
335.59,3,13,3.0,1,82.42,0,1,0
37.01,10,7,0.9,3,12.40,1,1,1
13.99,5,5,0.2,2,,0,0,0
57.31,6,19,6.3,2,32.20,0,0,0
56.30,9,20,0.7,3,165.38,0,0,0
80.00,8,1,0.3,2,64.95,0,0,0
24.92,3,10,2.4,2,30.26,0,1,0
157.44,10,21,1.6,5,98.88,0,0,0
36.99,3,20,0.5,2,46.99,0,1,0
22.99,0,21,2.2,2,13.34,0,0,0
22.72,1,21,0.5,3,16.40,0,0,0
31.33,10,13,2.9,4,49.48,0,0,0
7.49,0,13,0.5,2,40.53,0,0,0
100.99,1,9,2.0,4,26.41,0,0,0
181.00,6,20,0.6,1,50.85,0,0,0
23.99,6,9,2.2,3,27.94,1,0,0
22.95,6,18,2.0,5,59.71,0,0,0
38.62,10,4,1.1,2,26.26,0,1,0
134.92,3,5,4.9,3,107.93,0,0,0
284.99,4,18,0.6,4,149.18,0,0,0
23.48,6,15,0.3,3,48.77,0,0,0
54.58,3,13,0.9,4,63.31,0,0,0
54.58,3,13,0.9,4,63.31,0,0,0
40.19,7,13,0.7,3,44.00,1,0,0
19.95,4,18,2.7,2,40.68,0,1,0
179.95,0,12,1.6,4,131.10,0,0,0
15.99,1,21,1.0,5,30.32,0,1,0
226.58,6,3,0.3,3,73.88,0,0,1
64.14,8,22,2.3,3,71.71,0,0,0
118.97,9,16,7.8,4,69.59,0,0,0
91.95,0,19,1.9,2,76.04,0,0,0
355.00,8,10,13.5,2,162.85,0,0,0
63.04,8,4,1.1,4,37.31,0,0,0
95.00,5,18,1.5,4,121.43,0,0,0
70.20,4,18,6.6,3,48.74,0,1,0
87.20,1,16,1.4,2,62.52,0,1,0
57.00,7,16,0.7,1,32.89,0,0,0
21.00,6,21,0.3,1,52.05,0,0,0
73.35,8,12,0.6,3,191.13,0,1,0
56.00,2,9,0.9,3,52.27,1,0,0
5.76,2,18,0.1,3,21.37,0,1,0
35.56,8,20,3.7,3,25.48,0,0,0
34.29,5,4,1.0,4,42.64,0,1,0
78.29,8,12,6.8,3,25.93,0,0,0
314.78,5,21,2.0,3,140.49,0,1,0
108.95,2,23,2.4,3,83.35,0,0,0
18.62,7,11,3.9,5,32.04,0,1,1
122.21,0,11,1.1,2,65.90,0,0,0
15.99,0,16,5.8,1,36.70,0,0,0
70.98,9,13,1.2,2,109.16,0,1,0
89.88,6,19,1.4,3,112.21,0,0,0
47.98,3,9,6.1,2,55.24,1,0,0
68.15,10,7,0.6,3,25.27,0,0,0
57.99,5,19,2.1,8,90.41,1,0,0
6.53,2,8,2.6,3,30.31,0,0,0
6.33,11,13,2.2,2,51.25,0,1,0
119.08,2,10,3.9,3,78.49,0,0,0
127.61,6,20,0.6,3,91.41,0,0,0
125.15,4,3,1.0,3,167.23,0,1,0
74.39,7,20,0.1,4,67.02,0,0,0
130.76,3,10,1.8,5,53.37,0,1,0
74.99,6,9,3.8,1,30.32,1,1,1
148.39,1,18,3.1,3,39.07,1,0,1
137.50,2,21,1.6,2,56.51,0,0,0
280.92,0,13,4.2,1,155.22,0,1,0
107.50,7,21,2.5,2,45.62,0,1,0
126.86,1,18,1.4,4,111.20,0,0,0
71.00,6,18,0.8,3,140.19,1,0,0
202.84,4,15,1.3,1,140.15,0,1,0
221.00,2,8,0.5,2,99.47,0,0,0
15.00,8,7,0.2,1,53.16,0,1,0
18.59,7,20,0.6,1,26.13,0,1,0
86.99,2,11,0.0,4,87.77,0,0,0
113.76,6,9,9.6,3,93.26,0,0,0
122.00,1,10,0.4,3,52.17,0,1,0
100.72,3,22,3.1,2,85.83,0,0,0
65.78,4,6,0.9,5,73.85,1,0,0
50.00,0,21,3.9,1,61.29,0,0,0
229.00,6,13,2.0,1,221.76,0,0,0
70.50,3,8,0.9,3,31.98,0,0,0
34.50,7,13,1.2,2,21.89,0,0,0
89.17,11,22,1.8,5,41.65,0,0,0
48.59,9,0,2.1,1,47.42,0,0,0
106.67,2,17,0.8,2,74.30,1,1,1
80.50,8,17,5.8,4,15.34,0,1,1
34.00,0,12,9.7,2,123.78,1,0,1
34.00,6,9,1.7,1,48.33,0,0,0
40.88,3,13,3.4,2,89.32,0,0,0
22.93,7,17,8.0,2,57.12,1,0,0
55.95,6,15,2.7,2,57.60,0,1,0
257.99,0,8,1.3,4,60.74,0,0,0
8.29,3,18,3.5,1,22.79,0,1,0
33.00,7,16,3.9,1,53.82,0,1,0
104.96,3,18,0.9,4,150.42,0,0,0
7.54,7,20,1.8,4,50.40,0,0,0
5.18,6,16,0.3,4,20.56,0,1,0
40.85,1,13,0.7,2,44.41,0,0,0
15.99,3,8,0.8,5,28.79,0,0,0
60.00,2,10,2.5,2,21.11,0,0,0
62.00,3,17,1.9,3,,0,0,0
52.75,7,16,6.3,4,25.83,0,1,0
45.50,6,10,2.7,2,41.29,0,0,0
158.22,7,8,11.9,3,101.53,0,1,0
15.82,1,13,2.3,3,13.15,0,1,0
39.03,10,8,2.9,5,87.07,0,1,0
23.99,1,5,3.7,4,94.50,0,1,0
123.89,5,10,6.1,3,55.68,0,0,0
41.00,5,22,0.7,2,35.47,0,0,0
28.38,6,13,3.9,1,116.24,0,0,0
79.00,2,18,0.3,3,35.95,0,1,0
35.08,1,19,0.7,2,69.66,0,0,0
51.99,1,13,1.4,4,13.58,0,0,0
78.50,6,18,5.1,3,66.92,0,1,0
45.00,1,17,0.7,1,28.45,0,0,0
192.73,3,13,1.7,2,146.56,0,0,0
11.64,8,2,1.1,1,18.57,0,1,0
108.06,7,11,2.9,2,48.07,0,1,0
45.95,6,14,3.2,4,73.94,0,0,0
103.00,1,11,2.1,5,36.63,0,1,0
79.71,1,11,4.2,5,206.83,0,1,0
114.24,9,17,5.7,5,86.35,0,0,0
160.99,8,13,7.2,2,91.32,0,0,0
38.50,10,18,1.1,3,48.35,1,0,0
