participant_id,condition,session_mode,participant_group,baseline_recall,recruitment_wave,site,retained_7d
p_001533,retrieval_practice,remote,undergraduate,low,late,east,1
p_001534,retrieval_practice,remote,undergraduate,low,early,east,1
p_001535,rereading,remote,undergraduate,low,early,west,0
p_001536,rereading,lab,undergraduate,low,late,west,1
p_001537,rereading,lab,community,low,early,west,0
p_001538,rereading,remote,undergraduate,high,late,east,1
p_001539,rereading,lab,undergraduate,low,late,east,0
p_001540,retrieval_practice,lab,undergraduate,high,late,west,0
p_001541,retrieval_practice,lab,undergraduate,low,late,west,0
p_001542,retrieval_practice,remote,undergraduate,high,early,east,1
p_001543,rereading,remote,undergraduate,low,early,east,0
p_001544,rereading,lab,undergraduate,high,late,east,0
p_001545,rereading,lab,undergraduate,high,early,east,1
p_001546,rereading,lab,undergraduate,high,late,west,1
p_001547,retrieval_practice,lab,community,high,early,east,1
p_001548,retrieval_practice,remote,undergraduate,high,late,east,0
p_001549,rereading,lab,community,high,early,east,1
p_001550,retrieval_practice,remote,undergraduate,low,late,west,1
p_001551,retrieval_practice,remote,undergraduate,high,early,east,1
p_001552,retrieval_practice,remote,undergraduate,low,late,east,0
p_001553,retrieval_practice,lab,undergraduate,low,early,east,1
p_001554,rereading,remote,community,high,early,west,1
p_001555,rereading,lab,community,low,early,west,0
p_001556,retrieval_practice,remote,undergraduate,low,late,west,0
p_001557,rereading,lab,community,low,late,east,0
p_001558,rereading,lab,community,low,late,east,1
p_001559,retrieval_practice,lab,undergraduate,low,late,west,1
p_001560,retrieval_practice,lab,undergraduate,high,late,east,1
p_001561,retrieval_practice,lab,community,low,early,east,0
p_001562,rereading,lab,undergraduate,low,late,east,1
p_001563,rereading,lab,undergraduate,high,early,west,0
p_001564,rereading,lab,community,high,early,west,0
p_001565,rereading,remote,undergraduate,high,early,east,1
p_001566,retrieval_practice,remote,undergraduate,low,early,east,0
p_001567,retrieval_practice,lab,undergraduate,low,early,west,1
p_001568,retrieval_practice,remote,undergraduate,high,early,west,1
p_001569,retrieval_practice,remote,undergraduate,high,late,west,0
p_001570,retrieval_practice,remote,community,low,late,west,0
p_001571,rereading,lab,undergraduate,low,early,west,0
p_001572,rereading,lab,undergraduate,high,late,west,1
p_001573,retrieval_practice,lab,undergraduate,high,early,west,0
p_001574,rereading,remote,undergraduate,low,late,west,1
p_001575,rereading,lab,undergraduate,low,late,east,1
p_001576,rereading,lab,community,low,late,west,1
p_001577,retrieval_practice,lab,community,high,late,east,1
p_001578,rereading,remote,undergraduate,high,late,west,0
p_001579,rereading,lab,undergraduate,high,late,west,1
p_001580,rereading,lab,undergraduate,low,early,east,1
p_001581,retrieval_practice,lab,undergraduate,high,late,east,0
p_001582,retrieval_practice,remote,community,high,early,east,1
p_001583,retrieval_practice,remote,undergraduate,low,late,east,0
p_001584,rereading,remote,community,low,early,west,0
p_001585,rereading,remote,undergraduate,high,late,east,0
p_001586,rereading,lab,undergraduate,high,late,east,1
p_001587,retrieval_practice,lab,community,low,early,east,1
p_001588,rereading,remote,undergraduate,high,late,east,1
p_001589,retrieval_practice,lab,undergraduate,low,early,west,0
p_001590,retrieval_practice,lab,community,low,early,east,1
p_001591,retrieval_practice,lab,community,low,early,west,1
p_001592,rereading,remote,community,low,early,east,0
p_001593,retrieval_practice,lab,undergraduate,low,late,west,1
p_001594,rereading,remote,undergraduate,low,early,west,1
p_001595,rereading,lab,undergraduate,low,early,east,1
p_001596,rereading,remote,community,high,early,west,0
p_001597,rereading,remote,community,low,early,east,1
p_001598,rereading,remote,undergraduate,high,early,east,0
p_001599,retrieval_practice,lab,community,high,late,west,0
p_001600,rereading,lab,community,low,late,west,0
p_001601,retrieval_practice,remote,community,low,late,east,1
p_001602,retrieval_practice,lab,undergraduate,low,early,west,0
p_001603,rereading,remote,undergraduate,low,early,east,0
p_001604,rereading,lab,undergraduate,high,early,east,1
p_001605,rereading,lab,community,high,early,west,0
p_001606,rereading,lab,community,low,early,west,0
p_001607,retrieval_practice,remote,community,high,early,west,0
p_001608,retrieval_practice,lab,community,high,late,east,1
p_001609,rereading,remote,undergraduate,low,early,west,0
p_001610,retrieval_practice,lab,undergraduate,high,early,east,1
p_001611,retrieval_practice,remote,undergraduate,high,early,west,1
p_001612,retrieval_practice,remote,community,low,late,west,0
p_001613,rereading,remote,community,high,late,east,0
p_001614,rereading,remote,community,high,early,east,1
p_001615,retrieval_practice,lab,community,high,late,east,1
p_001616,retrieval_practice,remote,undergraduate,high,early,west,0
p_001617,retrieval_practice,lab,community,high,late,west,0
p_001618,retrieval_practice,remote,undergraduate,high,early,west,0
p_001619,rereading,remote,undergraduate,low,late,west,1
p_001620,retrieval_practice,remote,undergraduate,low,early,east,1
p_001621,retrieval_practice,lab,community,low,early,east,1
p_001622,retrieval_practice,lab,undergraduate,low,early,west,1
p_001623,rereading,lab,community,low,late,west,1
p_001624,retrieval_practice,lab,undergraduate,low,early,west,1
p_001625,rereading,remote,undergraduate,high,late,west,0
p_001626,retrieval_practice,lab,undergraduate,low,late,east,0
p_001627,rereading,remote,undergraduate,low,late,west,0
p_001628,retrieval_practice,lab,undergraduate,high,late,east,0
p_001629,retrieval_practice,lab,community,low,early,west,1
p_001630,retrieval_practice,lab,undergraduate,low,late,east,1
p_001631,retrieval_practice,remote,undergraduate,low,early,west,0
p_001632,rereading,lab,community,low,late,west,0
p_001633,retrieval_practice,remote,undergraduate,low,late,west,1
p_001634,retrieval_practice,lab,undergraduate,high,late,east,1
p_001635,retrieval_practice,remote,undergraduate,low,late,west,0
p_001636,retrieval_practice,lab,undergraduate,high,late,east,1
p_001637,rereading,remote,community,high,early,east,1
p_001638,rereading,lab,community,high,late,west,1
p_001639,rereading,lab,community,low,late,west,0
p_001640,retrieval_practice,lab,undergraduate,high,late,west,0
p_001641,retrieval_practice,remote,undergraduate,high,late,east,1
p_001642,retrieval_practice,lab,community,high,late,east,0
p_001643,rereading,remote,community,high,early,east,1
p_001644,retrieval_practice,remote,community,high,early,east,0
p_001645,rereading,lab,undergraduate,low,early,east,1
p_001646,rereading,remote,undergraduate,high,early,east,0
p_001647,rereading,remote,community,low,early,west,1
p_001648,retrieval_practice,remote,undergraduate,low,early,east,1
p_001649,retrieval_practice,lab,undergraduate,high,early,west,0
p_001650,rereading,lab,community,low,early,east,1
p_001651,retrieval_practice,lab,undergraduate,low,late,east,1
p_001652,retrieval_practice,lab,undergraduate,low,late,east,0
p_001653,retrieval_practice,lab,community,low,early,west,0
p_001654,rereading,lab,undergraduate,low,late,west,0
p_001655,retrieval_practice,lab,undergraduate,high,early,west,0
p_001656,retrieval_practice,lab,undergraduate,low,late,east,0
p_001657,rereading,lab,undergraduate,low,late,east,1
p_001658,rereading,lab,undergraduate,high,early,east,0
p_001659,rereading,lab,undergraduate,high,late,east,0
p_001660,rereading,lab,undergraduate,low,late,east,0
p_001661,retrieval_practice,lab,undergraduate,low,early,east,1
p_001662,rereading,lab,undergraduate,low,late,west,1
p_001663,retrieval_practice,lab,undergraduate,high,late,west,1
p_001664,retrieval_practice,remote,undergraduate,low,early,west,0
p_001665,retrieval_practice,lab,undergraduate,high,late,west,0
p_001666,rereading,lab,undergraduate,high,early,east,1
p_001667,retrieval_practice,lab,community,low,late,east,1
p_001668,rereading,remote,community,high,late,east,0
p_001669,rereading,lab,undergraduate,low,early,east,0
p_001670,rereading,remote,undergraduate,low,late,east,1
p_001671,rereading,lab,undergraduate,low,late,east,1
p_001672,rereading,remote,community,low,early,west,0
p_001673,rereading,lab,community,high,early,east,1
p_001674,rereading,remote,community,low,late,west,0
